Date,Open,High,Low,Close,Adj Close,Volume
11/2/2020,983,989,983,986,986,176
12/2/2020,989,997,986,997,997,266
13/2/2020,999,999,983,993,993,186
14/2/2020,1022,1024,1016,1020,1020,472
17/2/2020,1028,1028,1014,1018,1018,308
18/2/2020,991,991,970,983,983,448
19/2/2020,987,997,987,996,996,186
20/2/2020,982,984,960,960,960,226
21/2/2020,962,965,948,954,954,331
24/2/2020,915,923,891,891,891,1459
25/2/2020,936,938,909,911,911,1332
26/2/2020,905,910,887,901,901,1780
27/2/2020,890,904,860,860,860,943
28/2/2020,830,863,830,851,851,2426
2/3/2020,864,900,851,900,900,1747
3/3/2020,884,895,881,886,886,1018
4/3/2020,901,917,901,916,916,579
5/3/2020,925,928,903,907,907,363
6/3/2020,885,890,855,870,870,181
9/3/2020,807,832,794,810,810,759
10/3/2020,833,844,826,841,841,792
11/3/2020,821,827,805,805,805,2024
12/3/2020,792,798,711,728,728,2067
13/3/2020,775,820,773,777,777,1351
16/3/2020,757,757,699,723,723,987
17/3/2020,731,739,685,722,722,844
18/3/2020,699,699,662,669,669,477
19/3/2020,648,685,631,680,680,1239
20/3/2020,704,735,702,730,730,484
23/3/2020,673,689,660,668,668,699
24/3/2020,724,755,717,755,755,566
25/3/2020,776,795,771,772,772,1255
26/3/2020,767,794,749,794,794,176
27/3/2020,774,774,733,736,736,682
30/3/2020,736,765,736,765,765,268
31/3/2020,749,764,745,759,759,631
1/4/2020,745,745,709,720,720,793
2/4/2020,726,743,726,740,740,370
3/4/2020,747,751,744,748,748,382
6/4/2020,761,779,757,775,775,463
7/4/2020,787,811,787,806,806,1209
8/4/2020,796,805,788,805,805,146
9/4/2020,801,801,793,798,798,607
14/4/2020,799,808,782,808,808,1101
15/4/2020,798,801,778,793,793,1762
