channelTitle,title,publishedAt,videoId,videoUrl,viewCount,likeCount,dislikeCount,FbShares
SamsungSingapore,Samsung Galaxy S9 | S9+ Launch TVC: The Camera. Reimagined.,2018-03-23T10:11:38.000Z,RZb9MKrRDXc,https://www.youtube.com/watch?v=RZb9MKrRDXc,2308478,85,23,1
SamsungSingapore,Galaxy A (2018) - Lets you be you,2018-02-09T04:36:50.000Z,GLWL8MhirwI,https://www.youtube.com/watch?v=GLWL8MhirwI,1506657,28,7,2
SamsungSingapore,Samsung Galaxy S10 - The next generation Galaxy is here,2019-03-08T11:05:28.000Z,EfNQImeP6YU,https://www.youtube.com/watch?v=EfNQImeP6YU,1085096,212,139,11
SamsungSingapore,Samsung - Moments That Matter,2017-12-19T08:42:48.000Z,KYqTY_AL13Y,https://www.youtube.com/watch?v=KYqTY_AL13Y,1076514,19,7,6
SamsungSingapore,The Power to Progress,2018-08-01T06:43:57.000Z,YnUj-3H1yyk,https://www.youtube.com/watch?v=YnUj-3H1yyk,1046916,30,8,12
SamsungSingapore,Galaxy S10+ NextGenBold: The Bold Climb,2019-03-11T07:13:30.000Z,8lJ0m3vm5iU,https://www.youtube.com/watch?v=8lJ0m3vm5iU,1005335,81,31,2
SamsungSingapore,Samsung - Moments that Matter (2),2018-01-18T08:03:40.000Z,LSAU65yudl4,https://www.youtube.com/watch?v=LSAU65yudl4,987561,20,4,9
SamsungSingapore,Samsung Pay: Everywhere You Love,2016-06-17T07:03:40.000Z,79ahEYcLSeU,https://www.youtube.com/watch?v=79ahEYcLSeU,893374,122,74,25
SamsungSingapore,Pre-order the Samsung Galaxy S10 now!,2019-02-22T04:22:57.000Z,pWDy3ZVYGIo,https://www.youtube.com/watch?v=pWDy3ZVYGIo,828059,150,27,15
SamsungSingapore,How to explore the world with Gear S3,2016-12-27T09:36:07.000Z,Z5zM4vDW30g,https://www.youtube.com/watch?v=Z5zM4vDW30g,792791,48,6,36
SamsungSingapore,The Power to Progress: Changemakers,2018-08-02T10:22:28.000Z,pb4FeGMhWAw,https://www.youtube.com/watch?v=pb4FeGMhWAw,744326,157,152,2
SamsungSingapore,Samsung QLED TV: A New Era for TV,2018-07-04T09:53:03.000Z,J2Px_fu7MGY,https://www.youtube.com/watch?v=J2Px_fu7MGY,640986,106,5,17
SamsungSingapore,Galaxy Fold Launch,2019-09-20T06:25:45.000Z,mzjXGM7-BGE,https://www.youtube.com/watch?v=mzjXGM7-BGE,568926,84,16,4
SamsungSingapore,Galaxy Note10/10+ Launch,2019-08-24T00:29:59.000Z,q_nHsTeWHtc,https://www.youtube.com/watch?v=q_nHsTeWHtc,565212,422,273,11
SamsungSingapore,Samsung Galaxy Note10/10+,2019-08-09T09:38:46.000Z,SINZUQG-4xY,https://www.youtube.com/watch?v=SINZUQG-4xY,563026,370,220,7
SamsungSingapore,No messy cables with One Invisible Connection,2018-12-21T02:40:35.000Z,I0WUpnKgPsk,https://www.youtube.com/watch?v=I0WUpnKgPsk,547821,5,3,3
SamsungSingapore,BLACKPINK Special Edition Unboxing with subtitles,2019-07-26T05:52:50.000Z,t2akdPOu_y0,https://www.youtube.com/watch?v=t2akdPOu_y0,514786,19582,356,47
SamsungSingapore,Samsung QLED TV - No more burn-in,2019-01-03T04:22:46.000Z,M2KJdV3mO4E,https://www.youtube.com/watch?v=M2KJdV3mO4E,487446,13,5,1
SamsungSingapore,The all-new Galaxy Note8,2017-09-14T02:21:27.000Z,lv2ERpgYqEI,https://www.youtube.com/watch?v=lv2ERpgYqEI,426591,55,288,68
SamsungSingapore,Samsung QLED TV - One Remote Control,2019-01-07T06:01:14.000Z,vWuOdQ6M3SY,https://www.youtube.com/watch?v=vWuOdQ6M3SY,364409,8,2,3
SamsungSingapore,Switch to the Galaxy S9|S9+: Super Slow Mo,2018-07-11T08:25:09.000Z,BfeAJtTc-KE,https://www.youtube.com/watch?v=BfeAJtTc-KE,350881,6,3,0
SamsungSingapore,Samsung QLED TV - The Latest Technology,2018-12-18T10:04:10.000Z,tTnKfIKAMLg,https://www.youtube.com/watch?v=tTnKfIKAMLg,306124,6,1,2
SamsungSingapore,Samsung Gear VR,2016-01-22T03:16:35.000Z,_CACG6M0bqQ,https://www.youtube.com/watch?v=_CACG6M0bqQ,304123,16,4,11
SamsungSingapore,Samsung Gear - Go Beyond Fitness,2017-10-27T08:37:38.000Z,90lfOBT-o34,https://www.youtube.com/watch?v=90lfOBT-o34,302068,13,1,0
SamsungSingapore,#TheNextGalaxy,2015-08-06T05:17:51.000Z,0GNojVdxoJY,https://www.youtube.com/watch?v=0GNojVdxoJY,301412,26,10,0
SamsungSingapore,Discover Smart Innovation with Samsung Family Hub™.,2019-07-24T09:27:49.000Z,ZbufdxbmXag,https://www.youtube.com/watch?v=ZbufdxbmXag,300373,179,78,4
SamsungSingapore,Samsung Official TVC: Gear S3,2016-11-11T12:10:16.000Z,mLsVrUT5Wd8,https://www.youtube.com/watch?v=mLsVrUT5Wd8,285472,117,47,14
SamsungSingapore,Orchestrate your home with Samsung Connect Home!,2017-12-01T02:50:12.000Z,n0zAxEfTgQs,https://www.youtube.com/watch?v=n0zAxEfTgQs,274992,20,1,1
SamsungSingapore,Smart TV: Continue your entertainment│Samsung,2020-04-01T06:33:29.000Z,VWYMYXWmOoM,https://www.youtube.com/watch?v=VWYMYXWmOoM,294460,9,0,0
SamsungSingapore,Switch to the Galaxy S9|S9+: Water Resistance,2018-07-11T08:24:41.000Z,DQC5fpsC62E,https://www.youtube.com/watch?v=DQC5fpsC62E,238631,23,7,1
SamsungSingapore,Discover Smart Capacity with the new Samsung SpaceMax™ refrigerators,2019-05-24T04:09:21.000Z,EMVlRu8cpes,https://www.youtube.com/watch?v=EMVlRu8cpes,229967,120,59,4
SamsungSingapore,Galaxy J7 Prime Introduction Video,2016-11-23T09:26:27.000Z,CgFZVHdSKbg,https://www.youtube.com/watch?v=CgFZVHdSKbg,229826,1342,78,45
SamsungSingapore,Discover Smart Convenience with the Samsung QuickDrive™ Washer and Heatpump Dryer.,2019-07-24T09:24:43.000Z,YOSYAe1Ur3o,https://www.youtube.com/watch?v=YOSYAe1Ur3o,219137,107,71,1
SamsungSingapore,Discover Smart Flexibility with Samsung 3-Door Flex.,2019-08-16T09:19:19.000Z,OI60WWX996M,https://www.youtube.com/watch?v=OI60WWX996M,200624,102,42,4
SamsungSingapore,Switch to the Galaxy S9|S9+: Dual Aperture,2018-07-11T09:03:12.000Z,5Nut9OpUbRM,https://www.youtube.com/watch?v=5Nut9OpUbRM,195731,6,1,3
SamsungSingapore,Galaxy Buds+: Wireless PowerShare,2020-03-06T07:07:03.000Z,AkNM2ZMbx_U,https://www.youtube.com/watch?v=AkNM2ZMbx_U,186870,17,1,0
SamsungSingapore,Switch to the Galaxy S9|S9+: Optical Image Stabilisation,2018-07-11T08:24:09.000Z,RiBMWVBkX7k,https://www.youtube.com/watch?v=RiBMWVBkX7k,159568,3,7,0
SamsungSingapore,"The phone experience, reimagined",2020-02-12T16:00:26.000Z,vt0BacQeS_k,https://www.youtube.com/watch?v=vt0BacQeS_k,136059,21,0,2
SamsungSingapore,Samsung&#39;s Solve for Tomorrow is back!,2020-02-27T09:54:23.000Z,DajiszRb6wI,https://www.youtube.com/watch?v=DajiszRb6wI,107088,9,0,0
SamsungSingapore,Galaxy S10+ NextGenBold: The Bold Fall,2019-05-21T07:36:54.000Z,01CSopRhA8s,https://www.youtube.com/watch?v=01CSopRhA8s,88231,77,28,2
SamsungSingapore,Rethink wet and wonderful moments with Galaxy S7 edge 4G+,2016-06-01T07:30:58.000Z,mXybmDJRNC4,https://www.youtube.com/watch?v=mXybmDJRNC4,74621,12,2,2
SamsungSingapore,Rethink moments in low light with Galaxy S7 edge 4G+,2016-06-01T07:28:07.000Z,NSkbTevo35g,https://www.youtube.com/watch?v=NSkbTevo35g,74488,11,0,1
SamsungSingapore,Samsung Galaxy TabPro S TVC,2016-07-08T02:50:14.000Z,38hEHe146bw,https://www.youtube.com/watch?v=38hEHe146bw,71690,22,2,1
SamsungSingapore,AddWash - We All Have Secrets,2016-06-14T07:04:15.000Z,dl1NC9hpxUc,https://www.youtube.com/watch?v=dl1NC9hpxUc,68159,9,5,2
SamsungSingapore,AddWash - We All Want To Win,2016-06-14T07:04:15.000Z,IquzmegGHfQ,https://www.youtube.com/watch?v=IquzmegGHfQ,67539,4,3,1
SamsungSingapore,AddWash - We All Want To Get Connected,2016-06-14T07:04:15.000Z,knBorU-5Yus,https://www.youtube.com/watch?v=knBorU-5Yus,57151,6,2,4
SamsungSingapore,Galaxy Buds+: Device Pairing,2020-03-06T07:07:19.000Z,UWJqKMIkeKw,https://www.youtube.com/watch?v=UWJqKMIkeKw,56064,21,0,0
SamsungSingapore,Galaxy Note8 - S Pen Translate,2017-10-23T02:26:44.000Z,EYiMvew3JIs,https://www.youtube.com/watch?v=EYiMvew3JIs,50606,16,11,0
SamsungSingapore,Galaxy Note8 - Live Focus + Live Message,2017-10-23T02:50:06.000Z,FFMy0Ocb1JY,https://www.youtube.com/watch?v=FFMy0Ocb1JY,49604,7,5,0
SamsungSingapore,Galaxy Note8 - Live Message + Live Focus,2017-10-23T02:28:48.000Z,pY79BoPv_yI,https://www.youtube.com/watch?v=pY79BoPv_yI,48932,2,2,1
