,brand,created_at,favorite_count,id,retweet_count,source,text,user_created_at,user_followers_count,user_friends_count,user_id,user_name,user_screen_name,sentiment
1,0,2020-04-09 03:28:29,0,1248090377862733826,0,Twitter for Android,@therealjuicyj That's not the real challenge. It's Apple vs. Samsung,2011-02-06 14:05:44,964,2041,248209515,THE G.O.A.T.™ 🐐,CEOofGreatness,-0.0572
2,0,2020-04-09 03:28:10,0,1248090299219341312,0,Twitter Web App,@ZiniTevi Amazing app you guys have just want thing theres this german tv sjow i want to watch so bad but it does n… https://t.co/jUQlnLRPM6,2020-01-03 23:18:10,9,126,1213238109548077057,Cesar Loya,CesarLoya_,-0.0118
33,0,2020-04-09 03:04:19,3,1248084295585013762,0,Twitter Web App,"Freaked out for a bit when I had turned it off/disconnected the batt, Pebble watch started showing me notifications… https://t.co/wcUlBNsuDp",2010-04-13 02:30:15,2275,2257,132378897,Neovagina Evangelion 20.20,RaeGun2k,-0.296
34,0,2020-04-09 03:04:17,1,1248084288047853571,0,Twitter for iPhone,@libbs18 Bruh I had an orange Samsung slider what proof do you want from 2010? I remember RGIII went ham and Texas lost,2011-07-30 05:56:49,322,505,345194785,"𝔻𝕣.𝔹𝕦𝕕𝕨𝕖𝕚𝕤𝕖𝕣, 𝔻ℙ𝕋",cullenbrody13,-0.25
39,0,2020-04-09 03:02:49,0,1248083921113235456,0,Twitter for Android,"@SamsungIndia 
3 years gone,samsung not giving a single update😡
This is the reality of samsung mobiles https://t.co/UYzA14OsAd",2020-03-23 12:08:08,0,10,1242060507390939136,Kartik,Kartik05940485,-0.2584
45,0,2020-04-09 03:00:59,0,1248083457244348416,0,Twitter for iPhone,"@jmwilt17 From the leaks, both will have the same chip, Ram and compatible storage. We don’t pay $200 for software… https://t.co/tXcJEHKbS1",2009-10-22 06:04:56,261,820,84254542,Teejay1100///,TeeJaye1100,-0.1027
49,0,2020-04-09 02:58:56,0,1248082941843914752,0,Twitter Web App,@ScottAdamsSays I watch your podcast on twitter on my desktop. It's not clear how to comment or ask a question. I w… https://t.co/aRtpy4soaS,2020-01-07 04:41:45,4,51,1214406699055927301,Jeff Newman,ShamwitComic,-0.2924
67,0,2020-04-09 02:50:19,0,1248080775649488901,0,Twitter for iPhone,@ibrahimjunaidii Booooooo samsung cheating,2011-08-19 07:50:29,907,440,358027657,Fatin,ftnnssr,-0.5574
75,0,2020-04-09 02:46:35,1,1248079835609493504,0,Twitter for Android,@boopwoong Im kinda oldschool in samsung with my galaxy s7 for the past 4 years bitch-,2019-05-07 04:10:23,41,208,1125613825548406789,🌹Cinna❤Misses💕Jungkook💖,cinnobonny,-0.5859
79,0,2020-04-09 02:42:21,0,1248078770868715521,0,Twitter for Android,@ShlokBharadwaj7 @TechQuotesDaily But J7 pro started lagging badly while playing COC in 6-7 months only in 2017...I… https://t.co/rN7y9OB808,2020-03-10 14:06:20,3,89,1237379204624396288,Omkar Desai,omkard_0718_,-0.5267
83,0,2020-04-09 02:39:54,1,1248078153886699525,0,Twitter for iPhone,@EULIT2 Dwrcl give me any type a iPhone tbh am not pretending but me nuh remember how to use a Samsung SWEAR,2018-11-23 23:56:14,129,264,1066118256082239488,⛱🏝🥃👑KENNESSY👑🥃🏝⛱,CaptainKennessy,-0.371
97,0,2020-04-09 02:23:09,1,1248073938015567872,0,Twitter for iPhone,@conanthefool @conangray SHUSJSJ SAMSUNG REFRIGERATOR YALL NEED TO STOP,2020-03-25 06:01:24,41,95,1242693016466448384,savvy :)),conanissopretty,-0.4466
