,brand,created_at,favorite_count,id,retweet_count,source,text,user_created_at,user_followers_count,user_friends_count,user_id,user_name,user_screen_name,sentiment
5,0,2020-04-09 03:25:04,0,1248089517690675201,0,Twitter for Android,@Samsung I'd say 7 good dropped from at least 5 feet.  I refuse to get a case because this phone is big already.  t… https://t.co/1mjFfgCDdz,2019-11-27 05:16:44,9,158,1199557470458449921,YHVH,Steve61958683,0.1779
6,0,2020-04-09 03:24:41,1,1248089421720797185,0,Twitter for Android,@realnickwilson @therealjuicyj Thanks to Samsung for iPhones. Imagine where Apple will be without Samsung.,2009-12-30 22:36:36,272,149,100613735,Living For God 🐐🌹🏃🦁🦂🇳🇬🇺🇸,champagnefinest,0.4404
8,0,2020-04-09 03:21:39,0,1248088658768531456,0,Twitter for Android,@therealjuicyj Samsung Note wins all day,2010-11-22 01:46:15,90,1159,218329782,Jynx,Jynx138,0.5719
9,0,2020-04-09 03:21:16,0,1248088562362462209,0,Tweetbot for iΟS,"@soffes Actually, I thought it was the older SN500, they did a good job updating it! I’m still a fan of Samsung SSD… https://t.co/ebIpDe8hy3",2009-04-29 17:53:04,190,213,36423523,Mikhail 🐺,_mikhailbot,0.6696
10,0,2020-04-09 03:19:55,0,1248088223961583617,0,Twitter for Android,@LovelynKookie_ Samsung Galaxy Note Fan Edition 😑,2020-03-01 03:45:00,165,602,1233961382862708737,😤Fxiz😓,FaizRBLX,0.3182
13,0,2020-04-09 03:18:59,0,1248087988199809025,0,Twitter for Android,"This usually worked with YT or saved vids. Gumagana pala sa ibang app (hindi kasi sa Viu, kainis!). Goguma points for you today, Samsung. 🤩",2010-05-19 19:14:53,323,181,145740354,Donna Austria,donatbuy,0.4753
14,0,2020-04-09 03:18:19,0,1248087820499144704,0,Twitter for Android,@jadenpenney_ Does he have like a 2010 Samsung phone? Or...,2018-07-12 16:42:04,143,235,1017449022125199365,Nacho Blue 🌸,NachoBlueYT2,0.3612
17,0,2020-04-09 03:16:32,0,1248087371595141121,0,Twitter for Android,"@XXL ""Whaaaat?! I could put this champagne on ma phone and it still work.""

Samsung Galaxy J7 commercial",2020-03-08 23:31:43,0,30,1236796705820925953,DĪ£G∅,NowImMadAgain,0.4199
18,0,2020-04-09 03:15:22,1,1248087077737992192,0,Twitter for Android,@drunkboi69 Love Samsung,2012-06-16 23:06:37,45,603,610341170,"biodigital jazz, man",jonat_fr,0.6369
22,0,2020-04-09 03:14:16,0,1248086803686572033,0,Twitter for Android,@mkostial05 @FOX2now @fox2ch @SamsungMobileUS @SamsungMobile @Samsung @SamsungUS Yes! Love that we have the pro mode! Use it often! 😊,2011-12-20 00:24:31,274,189,441337844,David Berg,davidberggg,0.8306
25,0,2020-04-09 03:08:50,0,1248085435278114817,0,Twitter for Android,"@NHLBlackhawks TOEWS, 19, Samsung Galaxy 7 Active, Red. Please and thank you!",2015-12-02 17:56:14,11,15,4352993782,Paul Prohaska,PaulProhaska56,0.7777
26,0,2020-04-09 03:08:39,0,1248085389937647623,0,Twitter for Android,"@RosenaraM 😂😂😂 I was like I'm waiting for Rosenara 👀 

I'll video call you on IG cause I have a samsung now 😬",2010-04-19 23:47:21,606,443,134962802,charline charite,_ChaCutie,0.3612
29,0,2020-04-09 03:07:19,0,1248085053822898177,0,Twitter for Android,@Samsung_Pak Please😭😭we all want this advertisement on the TV,2019-10-11 16:49:45,0,9,1182699775118008321,Hirai.Sahyun,Hirai34943848,0.0772
32,0,2020-04-09 03:06:21,1,1248084807696908288,0,Twitter for Android,"@davidberggg @FOX2now @fox2ch @SamsungMobileUS @SamsungMobile @Samsung @SamsungUS Thank you, David.",2009-06-20 01:17:33,1074,2081,48887617,Mike Kostial,mkostial05,0.3612
35,0,2020-04-09 03:04:03,0,1248084230883561472,0,Twitter for iPad,"If I were to buy a new Android, I think Samsung is winning me over at the moment with features like Android 10 and… https://t.co/ZKT3IUhW7S",2008-04-04 16:02:54,4261,4999,14303901,Jake Hamby,jhamby,0.7096
37,0,2020-04-09 03:03:31,0,1248084094686298113,0,Twitter for Android,"@TeeJaye1100 There is no $200 tax, but user experience is the most important part of the phone and that's where Sam… https://t.co/AjkIxdfQ2Z",2020-02-04 00:54:59,449,401,1224496494574735360,Jason Wiltjer,jmwilt17,0.2592
42,0,2020-04-09 03:01:41,0,1248083636898783232,0,Twitter for Android,"@iamprasadtech
#prasadtechintelugu
Anna Samsung exynos 9611 processor pubg lo hdr graphics support chesthundi but D… https://t.co/JyuFlVnpPp",2020-01-14 15:10:47,0,17,1217101688928030722,Chaitanya,Chaitan26345858,0.2144
46,0,2020-04-09 03:00:15,1,1248083274045493248,0,Twitter for Android,@ImTHATChristina Hopefully the same one. Samsung Galaxy S8+ this new one I will not drop. I'll have to keep an accident free daily log. Lol,2011-06-12 21:35:12,1941,2494,316052620,Wolfking/#LSU15-0NationalChamps/#MakeSolo2Happen,wolfking20ten,0.7589
47,0,2020-04-09 02:59:49,1,1248083165991878656,0,Twitter for Android,"@mkostial05 @SamsungMobile The best, most smoothest experiences I've had using a monitor, laptop or even a TV as yo… https://t.co/Ajc09S9BIO",2011-12-20 00:24:31,274,189,441337844,David Berg,davidberggg,0.6369
