comments,date
"Waow Smart digital ,,,, smart hypertech , hitech ,,,,, supertech ,,,, superfine ,,,, Sulistiyo cahyono/Yoyok/t.j/06208817043729/062082257862178",2020-04-04T08:00:21.000Z
"Es bellisimo, no puede ser tan hermoso el celular!",2020-04-04T04:13:05.000Z
"HUAWEI rethink possibilities, HUAWEI rethink realities",2020-04-03T09:20:40.000Z
Let&#39;s move from iphone user to huawei 👍🏻👍🏻👍🏻,2020-04-02T09:41:45.000Z
I am going to buy it soon,2020-04-02T09:08:04.000Z
Quiero que llegue a Ecuador en serio,2020-04-01T18:02:52.000Z
Lo quiero 🤤🤤🤤🤤 desde Ecuador saludos,2020-03-31T13:16:07.000Z
Soundtrack?,2020-03-31T00:12:25.000Z
Esssss muchaaaa PERFECCIÓN 😍😍😍😎✌️,2020-03-28T16:48:07.000Z
Wow...cannot wait for the release,2020-03-28T08:50:44.000Z
marselacandara,2020-03-27T16:59:32.000Z
Who’s here after the P40 series just launch!!!,2020-03-26T14:14:48.000Z
I&#39;d do anything to get away from Google. Can the company make an affordable version for the little people? Google has ruined my whole existence need to get away from their tracking and control to be forced to depend on it is driving me crazy!!!,2020-03-25T18:35:28.000Z
Aptoide. Apk,2020-03-24T20:46:19.000Z
Trump: rethinks Google,2020-03-20T16:56:55.000Z
Please huawei next smartphone available in google,2020-03-20T11:41:40.000Z
"It is so unfair for the ban in US personally I am a huge huawei fan but although I live in NZ nobody wants the mate 30 because it has no android,and huawei’s system I think has no issues at all.",2020-03-20T09:25:34.000Z
"My love, huawei ❤️😁",2020-03-20T09:09:40.000Z
I&#39;m excited it will on sale in Japan though I&#39;m not afford to buy this.,2020-03-16T16:33:50.000Z
Every thing is awesome but back design is very hateful.,2020-03-16T12:18:49.000Z
Sir I love huawei,2020-03-16T11:53:53.000Z
I really love huawei so much like the gestures and navigations they are so smooth and the camera its the best one for me I want it,2020-03-14T10:40:56.000Z
"I really really love their ads now, just more technical and professional",2020-03-13T10:32:05.000Z
"🔥🔥🔥🔥🔥 <br /> <a href=""https://www.youtube.com/watch?v=Bj2ffS-H6WY&amp;t=0m50s"">0:50</a> 💕🧡💞 <br />   👇 👇 👇 👇🔥",2020-03-11T17:09:38.000Z
Yo lo vi y me enamore.,2020-03-11T04:23:47.000Z
Phone : China<br />Youtube : US<br />Me : Mars<br />Hotel? : Trivago,2020-03-07T19:44:43.000Z
"Do Americans just hate Huawei because 1, it’s Chinese, and 2, it has better tech and America? I see a trend that Americans will get all mad at a foreign company when it is better than their own American companies. Nice going Huawei, keep this up!",2020-03-07T15:14:36.000Z
"🔥🔥 <br /> <a href=""https://www.youtube.com/watch?v=Bj2ffS-H6WY&amp;t=1m49s"">1:49</a> 💖💘 <br />  👇 👇💚",2020-03-07T11:44:23.000Z
no volume buttons - FUTURE<br />😂😂😂😂😂😂😂,2020-03-06T09:09:00.000Z
Servıce problem..,2020-03-02T20:08:16.000Z
Türkiye Huawei p20 ligt telefon aldım garantili bir yıl. küçük arıza  285..USD yeni p20 lgyt 240 USD.. haksızlık..,2020-03-02T20:02:34.000Z
你好我没有在土耳其的华为同行一年前发布的，该手机拍我的电话交换我拉着曾与服务的服务画面的问题被认为是改变盖保证了设备1740铊帐户，而这里的新的1500 TL，人们一直很委屈一下吧..,2020-03-02T19:54:12.000Z
Why cant my huawei KII-L22 be this good? :(,2020-03-01T10:54:50.000Z
Perfecet,2020-02-28T11:37:05.000Z
مظلووومم,2020-02-27T20:56:29.000Z
The fact is samsung is the first to launch their flaagship phones after the new year while other companies like huawei and apple can still make their phones more greater because they already know what the s20 is like so its actually bad for samsung well at this time its samsungs era but after a few months it will be apple and huawei era.,2020-02-27T15:58:49.000Z
Dot problem I am check mate 30 drop test,2020-02-26T19:15:53.000Z
it&#39;s almost March 2020 and it&#39;s only arriving now in my country.....,2020-02-26T09:17:34.000Z
My<br />.,2020-02-26T07:41:16.000Z
I love Huawei! I want this phone or the mate x,2020-02-25T15:03:34.000Z
Indian kab rilej hoga,2020-02-25T14:39:43.000Z
"HUAWEİ, İKİNCİ DEVRİMİ GERÇEKLEŞTİRİYOR... TEBRİKLER..",2020-02-24T20:08:04.000Z
The name of song,2020-02-20T02:55:19.000Z
