comments,date
😱😱😱so cool,2020-04-13T20:35:50.000Z
"Már bánom hogy megvettem! Retek szar exynos processzorral,csak a kijelző ér valamit.A riválisok közelébe sem ér a teljesítménye. Ne vedd meg,nekem is ez volt az utolsó samsungom!",2020-04-13T18:07:07.000Z
هاتف رائع,2020-04-13T15:51:08.000Z
Whose watching this on an s20 ultra,2020-04-13T14:05:00.000Z
samsung: ‘intelligent battery control’<br />exynos chip: <b>sweats</b>,2020-04-13T09:42:06.000Z
Name of the song?,2020-04-13T08:00:17.000Z
Fix your cameras on the ultra please send out a new software no focus no detail not happy at all,2020-04-12T23:42:31.000Z
"<a href=""https://youtu.be/kFLoARvccYw"">https://youtu.be/kFLoARvccYw</a>",2020-04-12T03:15:02.000Z
"I have the normal Galaxy buds and always when I hear music, the music suddendly stops and I hear this reconnenct sound. Does anybody know what caused this thing??? It makes them unuseable.😬😔",2020-04-11T17:32:31.000Z
"Una gran decepción este teléfono fue mi peor decisión estaba con iPhone y por probar este Samsung la he cagado la batería y el audio lo peor lo daña, el batería 🔋 dura poco y la vocina no se escucha por rato y hay que reiniciar el teléfono 📵 una decepción total.",2020-04-11T17:19:53.000Z
Soy tecnonauta de corazón quiero participar,2020-04-11T16:42:08.000Z
Exynos Worst Gaming experience.,2020-04-11T12:21:19.000Z
"Still using exynos in my country :( <a href=""http://www.youtube.com/results?search_query=%23skip"">#skip</a>",2020-04-11T09:44:15.000Z
5G the Real Cancer,2020-04-11T03:51:09.000Z
5G causes Covid 19,2020-04-11T03:22:42.000Z
"<a href=""https://youtu.be/6CUSe8kgIE8"">https://youtu.be/6CUSe8kgIE8</a>",2020-04-11T02:11:03.000Z
That is realy good zoom,2020-04-11T01:57:30.000Z
"Stop exynos we want snapdragon like usa  <a href=""https://www.change.org/p/samsung-stop-selling-us-inferior-exynos-phones"">https://www.change.org/p/samsung-stop-selling-us-inferior-exynos-phones</a>",2020-04-11T01:40:58.000Z
Wow,2020-04-10T13:04:26.000Z
Apple are better,2020-04-10T08:57:33.000Z
Apple: Skips Iphone 9<br />Samsung literally skips 9 phones,2020-04-10T08:10:36.000Z
"Can u plz give me a samsung up coming every mobile because I want to be a samsung youtuber <br />My email is <a href=""http://www.youtube.com/results?search_query=%23arshad524101"">#arshad524101</a>@<a href=""http://gmail.com/"">gmail.com</a>",2020-04-10T05:20:48.000Z
"The phones coming out are of great quality. The puch hole camera however is a deal breaker for me. I wouldlike to suggest y&#39;all make a phone with a pop up camera that is slimmer than what is on competition flagships, that is slimmer than the current 8.8 mm on most models in the market, a figure that has been gradually rising comparatively speaking since the s7 edge (7.6mm) includng its predecessors and lighter as well. I must say one of the brands with a certain 7 pro had it right except for the thickness of the phone, but took some steps back with their latest offering. I believe the screen ought to be free from any camera and should be the only real estate on the face of the phone. The recent phones released would look and feel exquisite had they those few adjustments.  Yours Fan.",2020-04-10T04:27:40.000Z
iPhone:induction range<br /><br />Galaxy:kitchen,2020-04-10T00:03:57.000Z
2030: whole back is camera,2020-04-09T23:24:19.000Z
Interesting,2020-04-09T20:28:34.000Z
I feel like dumping my s10 and buying this new phone but i feel like once i buy it the s21 comes out,2020-04-09T18:44:04.000Z
"<a href=""https://www.youtube.com/watch?v=x0Kv_QRWR-I&amp;t=0m07s"">0:07</a> This is the camera that changes photography...<br />and This is the phone that changes mobile.",2020-04-09T18:16:40.000Z
Can you make a gaming phone. I give you a idea. Please make a gaming phone. What a people need. Make a phone. all in one.<br />Get every Technologie in the phone.<br />Make a phone by your all phone.,2020-04-09T08:19:17.000Z
"Nobody:<br /><br /><a href=""https://www.youtube.com/watch?v=x0Kv_QRWR-I&amp;t=0m18s"">0:18</a> Samsung: Pause",2020-04-08T19:12:57.000Z
So buying a new Galaxy Smartphone or a Smartwatch from you is for me not acceptable! So far you have NOT managed to launch Samsung Pay in Germany since 2016(!). You don&#39;t care about us customers!,2020-04-08T14:02:54.000Z
Why can&#39;t we as lovers of photography decide the level of pixel binning. At 16:9 ratio every photo measured in at 9.1MP. Why no 16MP base shot.. the Galaxy S5 had it. Plus in todays bigger sensors 16MP would be still bright n have sharper pictures like in the Galaxy S5. God i do miss that sharpness.,2020-04-08T13:32:45.000Z
why does the A50 not get Android 10?,2020-04-08T11:43:14.000Z
Exynos: exists<br /><br />5000 mah: am I a joke to you?,2020-04-08T09:55:53.000Z
Hey samsung it&#39;s time to be innovative and come up with a digital face mask with sensors and purifiers with changeable filters with bluetooth system to samsung health apps. You can make money at this time.,2020-04-08T09:48:18.000Z
Samsung is better than apple.,2020-04-08T07:59:07.000Z
Who here is watching this on their S20 Ultra!?,2020-04-08T04:09:24.000Z
Cool,2020-04-08T02:36:17.000Z
insane. period,2020-04-07T19:02:18.000Z
Nunca mas eu compro dessa marca,2020-04-07T14:53:06.000Z
Hol up it has 5-g ?,2020-04-07T14:51:56.000Z
@samsung..why u use exynos?whyy not snapdragon??,2020-04-07T10:02:25.000Z
Samsung please provid only snapdragon version only exynos we don&#39;t want and please keep always deference between s series vs note series mainly back camera module and shape please don&#39;t increase too high prices because we love Samsung ever we r die hard fans for Samsung branding we wish n hope note series must release gobel snapdragon version and best specs and features also charging capacity also do increase n fingerprint and charging animation also give more effects on Samsung flagships .... Luv u Samsung😍😍😍😍,2020-04-07T07:09:10.000Z
Love the phone but please fix the autofocus and battery management please,2020-04-06T21:11:05.000Z
Me: I want this phone <br />Wallet: really nega,2020-04-06T19:37:56.000Z
Bruh I am watching this on a 150$ phone,2020-04-06T19:37:01.000Z
"Bring back tablets with phone call capability(with earpice),ir blaster, and make the screen bigger and wider. The latest tab s was so narrow! Dont forget the headphone jack!",2020-04-06T18:49:06.000Z
iPhones 11 Pro Vs S20 Ultra,2020-04-06T18:05:01.000Z
Some dissapointing feature :<br />No dc dimming<br />Troubling exynos 990 cpu<br />Af problem in main camera<br />Easily succeeded with p40 series 🤣 in zoom war,2020-04-06T10:55:34.000Z
berapa harganya,2020-04-06T10:47:18.000Z
"Change processor for India <br />Exynos 990 is too bad <br />It works equal to mid range mediatek processor ,<br /> Develop better than snapdragon if u really want to get best market in india<br />Or give snapdragon processors in Indian market also",2020-04-06T08:28:08.000Z
Pleas give me samsung s20 altra phone😥😥😥,2020-04-06T05:13:36.000Z
"Is this the phone that changes mobile? Is it worth the upgrade or switch over? 💁🏻‍♂️check out review of the S20 Plus @  <a href=""https://www.youtube.com/user/Elleechonghan"">https://www.youtube.com/user/Elleechonghan</a>",2020-04-06T00:14:34.000Z
Do you buy a phone to take pictures on it or to use it as a phone?,2020-04-05T23:20:57.000Z
I am waiting for note 20+,2020-04-05T21:53:04.000Z
I still think Samsung should stop being toxic against a trillion pound phone company.,2020-04-05T21:43:32.000Z
Yuck,2020-04-05T18:27:33.000Z
"S Series: God<br />Note Series: Goddess<br />High end A Series(A80,A90): King<br />Mid Range A Series (A30-A71): Warriors<br />Low end A series(A01-A20) :Merchants<br />M series: Farmer<br />J series: peasant",2020-04-05T15:41:48.000Z
Disculpen alguien me puede ayudar mi tv Smart Samsung 49 &quot; se apaga sola y se entra solo  a la función de YouTube hay alguna solución soy de bolivia,2020-04-05T15:31:18.000Z
Never buy samsung galaxy with exynos procs because my S8 after 2 years used broke due too hightemp and now is became useless phone in my desk,2020-04-05T15:28:12.000Z
Just missing Heart rate sensor n headphone jack....in s20 series,2020-04-05T13:32:43.000Z
ماني  بدي واحي والله هاد الهاتف مو الي,2020-04-05T10:22:19.000Z
Can you please give me free samsung galaxy s20 ultra please,2020-04-05T09:51:56.000Z
I have galaxy s 10e,2020-04-05T08:27:04.000Z
Vcs fizeram uma camada no j6+ pq porrrrr queeeeeeeeee,2020-04-04T19:11:22.000Z
I love how Samsung is not disabling the comments like Apple does,2020-04-04T06:47:03.000Z
"Worst experience i had in my life by buying a samsung mobile phone. After buying the product within 15 days it showed a hardware complaint and the company was not ready to replace me a new one. Now its about more than 7 months,still now lots of complaints like not properly charging,showing overheating without even continuous use of more than 5 minutes. Simply making defective pieces and selling to poor costumers. Everyone make sure not to buy Samsung mobiles. Really poor and worst experience, shame on you....",2020-04-04T03:41:41.000Z
Hate the camera security,2020-04-03T22:09:00.000Z
Oh my god... i m getting dizzy😂 when i want to buy an iphone 11... suddenly samsung s20 ultra come😂 i dont know which one to buy ugh😂 its because i dont have any of iphone😂i am an android😂 so this year i want to buy an iphone but when i look at samsung s20 ultra... i actually already have samsung a50...  so i want to change to iphone11... <b>sigh</b> dont what to do😂😂,2020-04-03T19:41:19.000Z
Cuál es su precio  Q.,2020-04-03T19:20:36.000Z
"Buenos días soy un desarrollador de prototipos para Smartphone en esta oportunidad tengo una propuesta para el área creativa que lidera su empresa, acerca de un modelo de móvil que revolucionaria los Smartphone vistos hasta el día de hoy y que ninguna marca ha desarrollado hasta el momento a su vez una idea de seguridad que pondría fin a los robos de manera definitiva haciendo del móvil algo inservible si no es el usuario personal, espero su pronta respuesta. De no ser posible envíenme un correo donde remitir dicha propuesta agradecido de ante mano.<br />John cuba Zea<br />Lima-Perú <br />Johnlife15@<a href=""http://hotmail.com/"">hotmail.com</a>",2020-04-03T19:16:56.000Z
Samsung launch in America: here we present our best s20 ultra with powerful snapdragon 865 processor <br />Price 1400$<br />Samsung launch in India and Europe: here we present our less best s20 ultra with less powerful exynox  processors design by us with higher price 😛😛😛😝😝😝 price 1400$,2020-04-03T17:31:09.000Z
"My S20&#39;s speakers sounds so bad and tinny. Too much hight pitched frequencies, and almost no bass... <br />Who else has this issue ?",2020-04-03T17:30:39.000Z
Samsung is a great cheater <br />In video shows snapdragon model and real life they sell  their cheap exynox processors phones on high price <br />in India and some Europian countries <br />Why samsung this....,2020-04-03T17:11:51.000Z
